Raw_signal,Signal_with_offset_removed,Schmitt_trigger_output,Pulses_counted
-10.000000,-10.000000,0.000000,0.000000
-10.000000,-9.500000,0.000000,0.000000
-10.000000,-9.025000,0.000000,0.000000
-10.000000,-8.573750,0.000000,0.000000
-10.000000,-8.145061,0.000000,0.000000
-10.000000,-7.737808,0.000000,0.000000
-10.000000,-7.350918,0.000000,0.000000
-10.000000,-6.983372,0.000000,0.000000
-10.000000,-6.634203,0.000000,0.000000
-10.000000,-6.302492,0.000000,0.000000
-10.000000,-5.987368,0.000000,0.000000
-10.000000,-5.688000,0.000000,0.000000
-10.000000,-5.403600,0.000000,0.000000
-10.000000,-5.133419,0.000000,0.000000
-10.000000,-4.876748,0.000000,0.000000
-10.000000,-4.632911,0.000000,0.000000
-10.000000,-4.401265,0.000000,0.000000
-10.000000,-4.181202,0.000000,0.000000
-10.000000,-3.972141,0.000000,0.000000
-10.000000,-3.773534,0.000000,0.000000
-10.000000,-3.584857,0.000000,0.000000
-10.000000,-3.405614,0.000000,0.000000
-10.000000,-3.235333,0.000000,0.000000
-10.000000,-3.073566,0.000000,0.000000
-10.000000,-2.919888,0.000000,0.000000
-10.000000,-2.773893,0.000000,0.000000
-10.000000,-2.635199,0.000000,0.000000
-10.000000,-2.503439,0.000000,0.000000
-10.000000,-2.378267,0.000000,0.000000
-10.000000,-2.259354,0.000000,0.000000
-10.000000,-2.146386,0.000000,0.000000
-10.000000,-2.039066,0.000000,0.000000
-10.000000,-1.937113,0.000000,0.000000
-10.000000,-1.840258,0.000000,0.000000
-10.000000,-1.748245,0.000000,0.000000
-10.000000,-1.660833,0.000000,0.000000
-10.000000,-1.577791,0.000000,0.000000
-10.000000,-1.498901,0.000000,0.000000
-10.000000,-1.423956,0.000000,0.000000
-10.000000,-1.352758,0.000000,0.000000
-10.000000,-1.285120,0.000000,0.000000
-10.000000,-1.220864,0.000000,0.000000
-10.000000,-1.159821,0.000000,0.000000
-10.000000,-1.101830,0.000000,0.000000
-10.000000,-1.046738,0.000000,0.000000
-10.000000,-0.994401,0.000000,0.000000
-10.000000,-0.944681,0.000000,0.000000
-10.000000,-0.897448,0.000000,0.000000
-10.000000,-0.852575,0.000000,0.000000
-10.000000,-0.809946,0.000000,0.000000
-10.000000,-0.769449,0.000000,0.000000
-10.000000,-0.730977,0.000000,0.000000
-10.000000,-0.694428,0.000000,0.000000
-10.000000,-0.659707,0.000000,0.000000
-10.000000,-0.626721,0.000000,0.000000
-10.000000,-0.595386,0.000000,0.000000
-10.000000,-0.565617,0.000000,0.000000
-10.000000,-0.537335,0.000000,0.000000
-10.000000,-0.510468,0.000000,0.000000
-10.000000,-0.484945,0.000000,0.000000
-10.000000,-0.460698,0.000000,0.000000
-10.000000,-0.437663,0.000000,0.000000
-10.000000,-0.415780,0.000000,0.000000
-10.000000,-0.394991,0.000000,0.000000
-10.000000,-0.375241,0.000000,0.000000
-10.000000,-0.356480,0.000000,0.000000
-10.000000,-0.338655,0.000000,0.000000
-10.000000,-0.321723,0.000000,0.000000
-10.000000,-0.305636,0.000000,0.000000
-10.000000,-0.290355,0.000000,0.000000
-10.000000,-0.275837,0.000000,0.000000
-10.000000,-0.262045,0.000000,0.000000
-10.000000,-0.248942,0.000000,0.000000
-10.000000,-0.236495,0.000000,0.000000
-10.000000,-0.224670,0.000000,0.000000
-10.000000,-0.213437,0.000000,0.000000
-10.000000,-0.202765,0.000000,0.000000
-10.000000,-0.192627,0.000000,0.000000
-10.000000,-0.182996,0.000000,0.000000
-10.000000,-0.173846,0.000000,0.000000
-10.000000,-0.165154,0.000000,0.000000
-10.000000,-0.156896,0.000000,0.000000
-10.000000,-0.149051,0.000000,0.000000
-10.000000,-0.141598,0.000000,0.000000
-10.000000,-0.134518,0.000000,0.000000
-10.000000,-0.127791,0.000000,0.000000
-10.000000,-0.121402,0.000000,0.000000
-10.000000,-0.115332,0.000000,0.000000
-10.000000,-0.109565,0.000000,0.000000
-10.000000,-0.104087,0.000000,0.000000
-10.000000,-0.098883,0.000000,0.000000
-10.000000,-0.093939,0.000000,0.000000
-10.000000,-0.089242,0.000000,0.000000
-10.000000,-0.084780,0.000000,0.000000
-10.000000,-0.080541,0.000000,0.000000
-10.000000,-0.076513,0.000000,0.000000
-10.000000,-0.072687,0.000000,0.000000
-10.000000,-0.069053,0.000000,0.000000
-10.000000,-0.065600,0.000000,0.000000
-10.000000,-0.062321,0.000000,0.000000
-10.000000,-0.059205,0.000000,0.000000
-10.000000,-0.056245,0.000000,0.000000
-10.000000,-0.053432,0.000000,0.000000
-10.000000,-0.050761,0.000000,0.000000
-10.000000,-0.048223,0.000000,0.000000
-10.000000,-0.045813,0.000000,0.000000
-10.000000,-0.043522,0.000000,0.000000
-10.000000,-0.041346,0.000000,0.000000
-10.000000,-0.039278,0.000000,0.000000
-10.000000,-0.037314,0.000000,0.000000
-10.000000,-0.035449,0.000000,0.000000
-10.000000,-0.033676,0.000000,0.000000
-10.000000,-0.031992,0.000000,0.000000
-10.000000,-0.030393,0.000000,0.000000
-10.000000,-0.028873,0.000000,0.000000
-10.000000,-0.027430,0.000000,0.000000
-10.000000,-0.026058,0.000000,0.000000
-10.000000,-0.024755,0.000000,0.000000
-10.000000,-0.023518,0.000000,0.000000
-10.000000,-0.022342,0.000000,0.000000
-10.000000,-0.021225,0.000000,0.000000
-10.000000,-0.020164,0.000000,0.000000
-10.000000,-0.019156,0.000000,0.000000
-10.000000,-0.018198,0.000000,0.000000
-10.000000,-0.017288,0.000000,0.000000
-10.000000,-0.016424,0.000000,0.000000
-10.000000,-0.015603,0.000000,0.000000
-10.000000,-0.014823,0.000000,0.000000
-10.000000,-0.014082,0.000000,0.000000
-10.000000,-0.013378,0.000000,0.000000
-10.000000,-0.012710,0.000000,0.000000
-10.000000,-0.012074,0.000000,0.000000
-10.000000,-0.011471,0.000000,0.000000
-10.000000,-0.010898,0.000000,0.000000
-10.000000,-0.010353,0.000000,0.000000
-10.000000,-0.009835,0.000000,0.000000
-10.000000,-0.009343,0.000000,0.000000
-10.000000,-0.008876,0.000000,0.000000
-10.000000,-0.008432,0.000000,0.000000
-10.000000,-0.008011,0.000000,0.000000
-10.000000,-0.007610,0.000000,0.000000
-10.000000,-0.007230,0.000000,0.000000
-10.000000,-0.006868,0.000000,0.000000
-10.000000,-0.006525,0.000000,0.000000
-10.000000,-0.006199,0.000000,0.000000
-10.000000,-0.005889,0.000000,0.000000
-10.000000,-0.005594,0.000000,0.000000
-10.000000,-0.005315,0.000000,0.000000
-10.000000,-0.005049,0.000000,0.000000
-10.000000,-0.004796,0.000000,0.000000
-10.000000,-0.004557,0.000000,0.000000
-10.000000,-0.004329,0.000000,0.000000
-10.000000,-0.004112,0.000000,0.000000
-10.000000,-0.003906,0.000000,0.000000
-10.000000,-0.003711,0.000000,0.000000
-10.000000,-0.003525,0.000000,0.000000
-10.000000,-0.003348,0.000000,0.000000
-10.000000,-0.003181,0.000000,0.000000
-10.000000,-0.003021,0.000000,0.000000
